Company,Location,Sector,About,Amount,Stage,Funding Year
Bombay Shaving,,Ecommerce,Provides a range of male grooming products,6300000.0,,2019
Ruangguru,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",150000000.0,Series C,2019
Eduisfun,Mumbai,Edtech,It aims to make learning fun via games.,28000000.0,Fresh funding,2019
HomeLane,Chennai,Interior design,Provides interior designing solutions,30000000.0,Series D,2019
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",6000000.0,,2019
FlytBase,Pune,Technology,A drone automation platform,0.0,,2019
Finly,Bengaluru,SaaS,"It builds software products that makes work simpler, pleasant, and productive",0.0,,2019
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,1000000.0,Pre series A,2019
Quantiphi,,AI & Tech,It is an AI and big data services company providing business solutions.,20000000.0,Series A,2019
Lenskart,Delhi,E-commerce,It is a eyewear company,275000000.0,Series G,2019
Cub McPaws,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,0.0,,2019
Appnomic,Bengaluru,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",22000000.0,,2019
Kaleidofin,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,5000000.0,Series A,2019
JobSquare,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,140500.0,,2019
Open Secret,,Food tech,It produces and sells top quality snacks,0.0,,2019
LivFin,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",5000000.0,,2019
Byju's,,Edtech,Provides online learning classes,540000000.0,,2019
Zest Money,Bengaluru,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,15000000.0,Series B,2019
Witblox,,Edtech,Offers a range of robotics learning tools,182700.0,,2019
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,0.0,Pre series A,2019
