Company,Location,Sector,About,Amount,Stage,Funding Year
SalaryFits,,Fintech,A platform that promotes financial well-being of employees at workplace,5000000.0,,2019
Pristyn Care,,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,12000000.0,Series B,2019
Springboard,,Edtech,Offers online courses and extensive mentor-based learning,11000000.0,Post series A,2019
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,0.0,,2019
Medlife,Bengaluru,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,15500000.0,,2019
Seekify,Delhi,SaaS,Customer Experience (CX) Automation platform,1500000.0,Seed funding,2019
Toffee Insurance,Haryana,Insurance technology,Provides variety of insurance plans and policies,5500000.0,Series A,2019
Fireflies .ai,,AI,Developer of an artificial intelligence-powered assistant for businesses,5000000.0,,2019
HungerBox,Bengaluru,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",12000000.0,Series C,2019
Bijak,,AgriTech,B2B platform for agricultural commodities.,2500000.0,Seed fund,2019
Licious,Bengaluru,Food,Online meat shop,30000000.0,Series E,2019
truMe,,IoT,A global platform for Identity and Access Management,140000.0,,2019
Pumpkart,Chandigarh,E-marketplace,B2B model for appliances and electrical products,0.0,,2019
Asteria Aerospace,Bengaluru,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",230000000.0,,2019
Rivigo,,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",20000000.0,Series F,2019
HappyEasyGo,Gurugram,Travel,Online flight booking,49400000.0,Series B+,2019
Zetwerk,Bengaluru,Manufacturing,Provides facilities to get products manufactured.,32000000.0,Series B,2019
Observe.AI,Bengaluru,AI,Creates a voice AI platform,26000000.0,Series A,2019
Freshokartz,Jaipur,E-marketplace,Online fruits and vegetables delivery company,150000.0,Pre series A,2019
Lil’ Goodness and sCool meal,Bengaluru,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,400000.0,,2019
Trell,Bengaluru,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,2000000.0,Pre series A,2019
VMate,,,A short video platform,100000000.0,,2019
Bombay Shirt Company,Mumbai,E-commerce,Online custom shirt brand,8000000.0,,2019
Slintel,,SaaS,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",1500000.0,,2019
MyGameMate,Bengaluru,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,100000.0,,2019
Afinoz,Noida,Fintech,Online financial marketplace for customized rate quotes on loans and investment products in India,0.0,,2019
Rein Games,Noida,Technology,"It develops, publishes and distributes games across various platforms",50000000.0,Pre series A,2019
Ecozen,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,6000000.0,Series A,2019
Box8,Mumbai,Foodtech,Enables to order food online,120000000.0,,2019
Awign Enterprises,Bengaluru,,It supplies workforce to the economy,4000000.0,Series A,2019
Purplle,Mumbai,Cosmetics,Online makeup and beauty products retailer,30000000.0,Series C,2019
Freightwalla,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,4000000.0,Series A,2019
TapChief,Bengaluru,,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,1500000.0,Pre series A,2019
eJOHRI,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,1000000.0,Pre series A,2019
Ninjacart,,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.",0.0,,2019
Binca Games,Mumbai,Games,It offers games that are available across India and UK.,0.0,,2019
KredX,Bengaluru,,Invoice discounting platform,26000000.0,Series B,2019
m.Paani,Mumbai,,It digitizes and organises local retailers,5500000.0,Series A,2019
Origo,Gurugram,AgriTech,It provides post-harvest management services for agricultural commodities,6800000.0,,2019
WishADish,Delhi,Food & tech,Provides management solution for restaurants,6000000.0,,2019
Ecom Express,Gurugram,Logistics,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,36000000.0,,2019
Stanza Living,Delhi,Accomodation,Provides comfortable and secure accomodation for students,5700000.0,,2019
PiBeam,Chennai,Automotive tech,It is engaged in building sustainable and affordable micro-mobility electric vehicles,50000000.0,,2019
Euler Motors,Delhi,Automotive tech,It is offering mobility as a service,2000000.0,,2019
Moms Co,Delhi,E-commerce,It is into mother and baby care-focused consumer goods,5000000.0,Series B,2019
Cubical Labs,,IoT,Home automation solution provider,0.0,Series B,2019
Lawyered,Delhi,Legal tech,It helps to connect to legal advise online,100000.0,,2019
Cuemath,Bengaluru,Edtech,It helps students to learn math online,5500000.0,,2019
Licious,Bengaluru,Food,Online meat shop,25000000.0,Series D,2019
Nivesh.com,Noida,Mutual Funds,The platform simplifies the process of investment,600000.0,,2019
Zebu,,Cybersecurity,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",4000000.0,Seed round,2019
Smart Institute,Surat,Edtech,A platform to learn online,1500000.0,,2019
CarDekho,Jaipur,Automobile,Enables people to buy and sell new/old cars.,70000000.0,Series D,2019
Shadowfax,Bengaluru,Logistics,A platform for delivery services,60000000.0,Series D,2019
Credr,Mumbai,Automobile,A marketplace to buy and sell used bikes and scooters,6000000.0,,2019
Sportido,Noida,Sports,It is a sports discovery app that helps to find people and places to play 700+ sports,0.0,Series B,2019
Phable,,Healthtech,"It creates an engagement loop between doctors, hospitals, and patients via its app",220000.0,,2019
Sarva,Chennai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2800000.0,,2019
IndyFint,Bengaluru,Virtual Banking,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2100000.0,Series A,2019
Zolostays,,Accomodation,It offers affordable housing apartments to young professionals and students,7000000.0,,2019
Ola,Bengaluru,Transportation,It enables one to book cab online,311000000.0,,2019
Zoomcar,Bengaluru,Transport & Rentals,A car rental service platform,4800000.0,,2019
Kratikal,Uttar pradesh,Technology,Provides cyber security solutions,1000000.0,Pre-series A,2019
Froogal,Hyderabad,Marketing & Customer loyalty,A cloud based Customer Loyalty & Engagement Platform,1000000.0,Pre series A,2019
Infra.Market,Mumbai,Infratech,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",20000000.0,Series A,2019
Oyo,Gurugram,Hospitality,Provides rooms for comfortable stay,693000000.0,,2019
GoMechanic,Delhi,Automobile & Technology,Find automobile repair and maintenance service providers,5000000.0,Series B,2019
Spinny,Delhi,Automobile,Online car retailer,50000000.0,,2019
Ess Kay Fincorp,Rajasthan,Banking,Organised Non-Banking Finance Company,33000000.0,,2019
