Company,Sector,Stage,Amount,Location,About,Funding Year
Happyemi,Consumer,Early Stage,1000000.0,Bengaluru,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases instore and online,2018
Wishup,Consumer Applications,Early Stage,1300000.0,Azadpur,Premium Personal Assistance service,2018
Hansel.Io,Mobile,Mid Stage,4000000.0,Bengaluru,Hansel a mobile app management platform provides the infrastructure that companies need in order to personalize product experiences,2018
Pivotroots,Advertising,Mid Stage,1300000.0,Mumbai,Digital Marketing powered by Data  Technology fueled by Design thinking,2018
Ziffyhomes,Marketplace,Early Stage,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent,2018
Asteria Aerospace,Aerospace,Other Stages,1300000.0,Bengaluru,Asteria Aerospace is a robotics and artificial intelligence company,2018
Design Cafe,Home Decor,Mid Stage,29200000.0,Bengaluru,Design  Execution Organization that delivers beautiful  innovative designs for Home Interiors in any budget,2018
Next Digital Solutions,Digital Marketing,Other Stages,1460.0,Kota,Next Digital Solutions is website design  Digital Marketing development company,2018
Impact Guru,Creative Agency,Mid Stage,2000000.0,Mumbai,Were a Harvard incubated crowdfunding platform for nonprofits social enterprises startups and individuals,2018
Mobikwik,Consumer Lending,Late Stage,3504000.0,Gurugram,MobiKwik is a payments backed fintech platform in India MobiKwik App offers instant loans  investment products to the 500M masses of India,2018
Adiuvo Diagnostics,Health Diagnostics,Early Stage,1300000.0,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India,2018
Satin Creditcare Network Limited (Scnl),Banking,Other Stages,30000000.0,New Delhi,Satin is a nonbanking finance company providing individual loans to urban shopkeepers,2018
Dee Dee Labs,Embedded Systems,Early Stage,1300000.0,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses,2018
Housejoy,Beauty,Mid Stage,3240000.0,Bengaluru,Housejoy is a webbased platform that allows individuals to browse and book service providers for their homes,2018
Ninjacart,Agtech,Mid Stage,36500000.0,Bengaluru,Ninjacart is a B2B agrimarketing platform that connects vegetables and fruits farmers directly with businesses,2018
Olly Smart Credit Card,Credit Cards,Early Stage,1300000.0,New Delhi,Olly is a digital credit card for Indias working masses and young people,2018
Zestl,Software,Early Stage,1300000.0,Pune,NoCode Workflow Automation Build enterprise applications in days with AI Cognitive Automation Collaboration and more built in,2018
Drstore,Hospital,Early Stage,1300000.0,Mumbai,Drstore is a exclusive e commerce platform,2018
Chizel,3D Printing,Early Stage,1300000.0,Pune,Chizel is a worlds most advanced cloud platform for ondemand manufacturing in 3D Printing and CNC Machining,2018
Halaplay Technologies,Digital Entertainment,Mid Stage,5000000.0,Bengaluru,A daily fantasy sports platform,2018
Forum For Innovation Incubation Research And Entrepreneurship,Funding Platform,Other Stages,1496500.0,Margão,FiiRE a technology business incubator helps the startup process to move from the garage to the lab,2018
Quikr,Classifieds,Other Stages,8030000.0,Bengaluru,Quikr is a free classifieds and online marketplace that helps users sell buy rent or discover anything across India,2018
Buildsupply,Enterprise Resource Planning (Erp),Mid Stage,3650000.0,Gurugram,Indias most advanced ERP system for the real estate,2018
Guiddoo World,Audio,Early Stage,800000.0,Mumbai,We build InDestination Experiences,2018
Civilcops,Government,Other Stages,100000.0,Gurugram,GovTech,2018
Artbandhu,Digital Media,Other Stages,15000.0,Bengaluru,Ai platform for Art and Creative Community,2018
Survaider,Business Intelligence,Early Stage,500000.0,Bengaluru,Stethoscope for customer feedback ,2018
Avishkaar Box,Children,Early Stage,730000.0,New Delhi,Avishkaar Box is just not another box full of material rather it is a well researched thought through solution,2018
Fastfox,Rental,Mid Stage,1460000.0,Gurugram,FastFox Market Network for Home Rentals India,2018
Fincash.Com,Wealth Management,Early Stage,150000.0,Mumbai,A startup in the personal finance space in India ,2018
Petsutra,Veterinary,Early Stage,138700.0,Gurugram,Gurugrambased Online petcare platform,2018
Backpacker Panda Holidays Private Limited,Tourism,Mid Stage,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel,2018
Sectorqube,Consumer Electronics,Early Stage,1300000.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically,2018
Silversparro Technologies Pvt. Ltd,Analytics,Early Stage,300000.0,Gurugram,Silversparro is a deep learning technology solution provider,2018
Creator’S Gurukul,Facilities Support Services,Other Stages,1300000.0,Gurugram,A coworking space provider,2018
Ekincare,Medical,Mid Stage,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere,2018
Streo,Music Streaming,Early Stage,1300000.0,Gurugram,Live stream music from nightclubs bars  festivals,2018
Ontrack Technologies Pvt. Ltd,Retail,Early Stage,1300000.0,Bengaluru,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis,2018
Awign Enterprises,Business Development,Early Stage,730000.0,Bengaluru,Operations and manpower outsourcing startup,2018
Workflexi,Human Resources,Early Stage,146000.0,Bengaluru,Be Smart Work on ContractBe Smart Hire on Contract,2018
Hippo Video,Customer Service,Early Stage,1300000.0,Chennai,A video recording and sharing software,2018
