Company,Sector,Stage,Amount,Location,About,Funding Year
AjnaLens,Ar/Vr Startup,Other Stages,12127.35,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020
TurboHire,Recruitment Startup,Early Stage,12127.35,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020
Charcoal Eats,Qsr Startup,Other Stages,24254.7,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020
Mitron TV,Video Platform,Early Stage,36382.05,Bengaluru,Mitron is a free short videoplatform for next generation,2020
Janani,Fertility Tech,Early Stage,2425.47,Bengaluru,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020
Finelistings,Luxury Car Startup,Other Stages,36382.05,New Delhi,A Used Luxury Car Marketplace,2020
Pocket FM,Fm,Mid Stage,60636.74,Bengaluru,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020
Krimanshi Feeds,Nutrition Sector,Mid Stage,6063.67,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020
Betterplace,Tech Platform,Mid Stage,121273.48,Bengaluru,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020
InVideo,Video,Mid Stage,181910.23,Mumbai,InVideo enables you to transform your content into great videos.,2020
Arzooo,Retail Tech,Mid Stage,90955.11,Bengaluru,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020
VitalTech,Heathtech,Early Stage,36382.05,"Plano, Texas, United States","VitalTech is a develop technologies that empower patients to better care for their safety,",2020
Slintel,Sles And Marketing,Other Stages,50934.86,"San Francisco Bay Area, Silicon Valley, West Coast","Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020
SoOLEGAL,Legaltech,Early Stage,48509.39,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020
Hire Me Car,Car Service,Early Stage,36382.05,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020
CredR,Bike Marketplace,Mid Stage,24254.7,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020
Satyukt,Agri Tech,Early Stage,6063.67,Bengaluru,An agritech company that provides business to business (B2B) agricultural data,2020
Rare Planet,Reatil Startup,Other Stages,36382.05,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020
Avataa Me,Ar Platform,Mid Stage,84891.44,Bengaluru,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020
Pepper Content,Content Marketplace,Mid Stage,50934.86,Mumbai,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,2020
Livve,Rental Space,Early Stage,18191.02,Cochin,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,2020
Krishitantra,Soil-Tech,Early Stage,12127.35,Hyderabad,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,2020
NirogStreet,Ayurveda Tech,Other Stages,24254.7,Gurugram,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2020
Bambrew,Packaging Solution Startup,Early Stage,36382.05,Bengaluru,Bambrew is an online shop for reusable bamboo straws.,2020
ECOSTP,Sanitation Solutions,Early Stage,230419.62,Bengaluru,Eco friendly zero power zero maintenance sewage treatment plant in India.,2020
WoodenStreet,Home Design,Mid Stage,12127.35,Rajastan,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,2020
ACKO,Insuretech,Other Stages,727640.9,Mumbai,Acko General Insurance is a private sector general insurance company in India.,2020
Fourth Partner Energy,Solar Solution,Early Stage,194037.57,Hyderabad,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,2020
Melorra,Jewellery Startup,Mid Stage,151591.86,Bengaluru,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,2020
Reliance,Multinational Conglomerate Company,Mid Stage,26680166.5,Mumbai,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",2020
Pandorum,Deeptech Startup,Early Stage,61364.38,Bengaluru,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,2020
SpeakIn,Social Network,Other Stages,36382.05,Noida,"AI-enabled network of speakers and thought leaders, aka. experts",2020
LetsUp,Publication,Mid Stage,36382.05,Mumbai,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",2020
JetSynthesys,Tech,Early Stage,485093.94,Mumbai,Gaming and entertainment startup,2020
3one4 Capital,Venture Capital,Other Stages,1212734.84,Bengaluru,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,2020
WE-Hub,Entreprenurship,Other Stages,36382.05,Hyderabad,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,2020
Zomato,Food Devlivery,Late Stage,751895.6,Gurugram,Get online food delivery from restaurants near you,2020
Odwen,Warehouse,Mid Stage,654.88,Noida,India's first do-it-yourself warehouse management system.,2020
BankBazaar,Online Financial Service,Other Stages,109146.14,Chennai,Check your latest Credit Score and get your Credit Report online in India for Free,2020
Specsmakers,Eyeglasses,Other Stages,36382.05,Chennai,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",2020
Grinntech,Battery Design,Early Stage,24254.7,Dehradun,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability",2020
CreditMantri,Online Credit Management Startup,Early Stage,9740.03,Chennai,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,2020
Chai Waale,Beverage,Early Stage,2886.31,Chennai,Given the rising trend in the number of tea stalls in the city,2020
Hire Me Car,Traveltech,Early Stage,36382.05,Noida,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,2020
WeInnovate Biosolutions,Startup Laboratory,Early Stage,36382.05,Pune,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,2020
mCaffeine,Personal Care Startup,Mid Stage,35169.31,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020
Onsitego,Customer Service Company,Mid Stage,363820.45,Mumbai,Onsitego is a customer service company for device and appliance repairs.,2020
Precily,Saas  Startup,Early Stage,36382.05,California,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,2020
ClanConnect,Marketing Startup,Early Stage,7276.41,New Delhi,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",2020
Servify,Technology Services,Mid Stage,278929.01,Mumbai,Servify is a self-learning platform that provides device management services and warranty solutions.,2020
Cub McPaws,Ar Startup,Other Stages,9701.88,Mumbai,Cub McPaws is a kids clothing brand.,2020
Zimyo,Hr Tech Startup,Early Stage,18191.02,Gurugram,Employee experience platform that empowers organizations to manage and retain great talent!,2020
PumPumPum,Automotive Startup,Other Stages,4365.85,Gurugram,Pumpumpum is a car rental company,2020
Burgerama,Food Startup,Other Stages,36382.05,Gurugram,Burgerama is a unit of Junket Foods Private Limited,2020
Illumnus,Edtech Startup,Early Stage,1212.73,Gurugram,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",2020
CarTrade,Car Trade,Late Stage,515412.31,Mumbai,Buy and Sell Used Cars,2020
LEAD School,Edttech,Mid Stage,339565.76,Mumbai,Offers a high-end digital classroom system focused on enhancing the learning experience,2020
Ultraviolette Automotive,Automation,Mid Stage,4972.21,Bengaluru,Industries Automotive Electric Vehicle Energy Energy Storage,2020
SenseHawk,Solar Saas,Mid Stage,60636.74,Bengaluru,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,2020
Railofy,Wl & Rac Protection,Early Stage,10914.61,Mumbai,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,2020
Eloelo,Social Commerce,Early Stage,5457.31,Bengaluru,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",2020
Homelane,Home Interior Services,Other Stages,97018.79,Bengaluru,Explore 1000's of fully customizable home interior designs.,2020
WayCool,Agritech Startup,Mid Stage,61364.38,Chennai,WayCool is a social enterprise positively impacting the lives of India's farmers,2020
YAP,Api Platform,Mid Stage,49115.76,Chennai,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,2020
Big Bang Boom Solutions,Deep Tech,Mid Stage,12733.72,Chennai,It aims to co-create intellectual property that can reside within the borders of the country.,2020
BluSmart,Electricity,Other Stages,84891.44,Gurugram,"BluSmart, an all-electric ride-hailing platform",2020
Cell Propulsion,Automotive Company,Other Stages,36382.05,Bengaluru,Designs and develops electric power drives and autonomous electric mobility solutions,2020
Spoonshot,Fmcg,Early Stage,12127.35,Bengaluru,A food science company using AI to predict consumer taste and food trends,2020
i3 Systems,Insurance Tech,Other Stages,12733.72,Mumbai,Transforming India's health insurance industry with its digital solutions and AI products for automation,2020
Hippo Video,Video Personalization,Mid Stage,48509.39,New York,Helps enterprise businesses achieve their marketing and sales goals through seamless video,2020
Phool.co,Biomaterial Startup,Other Stages,16978.29,Kanpur,They use flowers from temples across India's and create useful products such as rose incense cone,2020
IDfy,It,Mid Stage,25588.71,Mumbai,IDfy provides risk and fraud solutions,2020
Bira91,Craft Beer,Early Stage,9265.29,New Delhi,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,2020
Tracxn,Investment,Mid Stage,10756.96,Bengaluru,Tracxn is the research partner for Venture Capitalist,2020
PurohitJi,Linguistic Spiritual,Mid Stage,36382.05,Bengaluru,App for Hindu Puja Products & Services,2020
Brick&Bolt,Construction And Real Estate,Mid Stage,26680.17,Bengaluru,"A construction company doing house construction, building construction, commercial construction",2020
Grinntech,Battery Manufacturer,Early Stage,24254.7,Chennai,Leading on all fronts of battery design,2020
Exprs,Nano Distribution Network,Other Stages,68640.79,Madhapur,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.",2020
The Health company,Ai Health,Early Stage,4244.57,Gurugram,Organic superfoods & free personal health coaching that actually work.,2020
TrulyMadly Matchmakers,Dating App,Other Stages,1334.01,Gurugram,One of the best dating Apps in India connecting singles across the country.,2020
TrueFan,Media,Early Stage,52147.6,Mumbai,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,2020
Virohan,Healthcare/Edtech,Early Stage,33956.58,Gurugram,Healthcare training company,2020
Otipy,Agritech/Commerce,Other Stages,12127.35,Gurugram,Connects consumers with farmers thorugh women resellers,2020
Evage,Mobility Tech,Early Stage,36382.05,Chandigarh,Develop emissions-free electric commercial vehicles,2020
Trell,Social E-Commerce,Mid Stage,133400.83,Bengaluru,Allows users to share their travel experiences,2020
Captain Fresh,Food & Logistics,Other Stages,27892.9,Bengaluru,Sea food Supply chain,2020
Habbit Health,Nutrition Tech,Other Stages,36382.05,New Delhi,Applies modern science for healthier life through proprietary foods & digital ecosystem,2020
Able Jobs,Hr,Mid Stage,24254.7,Bengaluru,Provides end to end hiring support to companies,2020
Text Mercato,E-Commerce Technology,Mid Stage,7877.93,Bengaluru,Cataloguing startup that serves ecommerce platforms,2020
CUSMAT,Ar/Vr,Mid Stage,36382.05,Warangal,It builds high immersion training systems for enterprises,2020
DrinkPrime,Water Technology,Other Stages,34914.64,Bengaluru,Subscription-based Water purifier startup,2020
IPHM Services,Mental Health,Early Stage,36382.05,Mumbai,It helps design programs and workshops for the psychological well-being of individuals,2020
Leap Club,Professional Networking,Mid Stage,36382.05,Gurugram,Community led professional network for women,2020
Bijnis,B2B Marketplace,Mid Stage,121273.48,New Delhi,Provides a platform for manufacturers and retailers in digital transaction,2020
StyleDotMe,Fashion Tech,Other Stages,5663.47,Gurugram,"mirrAR, helps jewellers sell jewellery with no physical inventory",2020
ThriveFNC,Health & Wellness,Early Stage,36382.05,Pune,Focusses on reversing chronic lifestyle disorders through functional nutrition.,2020
Magicpin,Hyperlocal Services,Late Stage,84891.44,Gurugram,"It is a local discovery, rewards, and commerce platform",2020
Yumlane,Cloud Kitchen,Other Stages,12127.35,Mumbai,Online retailer that offers a range of on-the-go hot snacking and meals,2020
PumPumPum,Iot/Automobile,Late Stage,3553.31,Gurugram,Offers leased car services,2020
Specsmaker,Eye Wear,Mid Stage,37109.69,Chennai,Online optical chain for eye wears,2020
JetSynthesys,Digital Tech,Early Stage,485093.94,Pune,Digital entertainment and technology company,2020
Blue Sky Analytics,Data Intelligence,Early Stage,14552.82,Gurugram,"It is building AI-powered infrastructure to analyse air quality, pollution etc",2020
Zolostays,Co-Living,Mid Stage,679131.51,Bengaluru,It offers affordable housing apartments to young professionals and students,2020
Paper Boat,Food & Beverages,Early Stage,44871.19,Gurugram,Ecommerce platform for beverages and snacks,2020
Big Bang Boom Solutions,Defense Tech,Mid Stage,12127.35,Chennai,It developed integrated intellectual properties for defense,2020
Arth Designbuild,Construction Tech,Mid Stage,13340.08,Hyderebad,Construction technology and solutions provider,2020
Oziva,Nutrition,Mid Stage,60636.74,Mumbai,Clean Label Active Nutrition Brand,2020
91springboard,Coworking,Mid Stage,72036.45,New Delhi,It offers collaborative workspace with varied amenities,2020
Yulu,Micro-Mobiity,Mid Stage,48072.81,Bengaluru,The electric and scooter rental startup,2020
GoMechanic,Auto-Tech,Mid Stage,36382.05,New Delhi,Find automobile repair and maintenance service providers,2020
Peppermint,Robotics,Early Stage,36382.05,Mumbai,Industrial robotics startup,2020
LetsTransport,Logitech,Other Stages,15929.27,Bengaluru,Offers techno logistics solutions,2020
Crimson Healthcare,Med Tech,Other Stages,2786.86,New Delhi,It innovates cutting edge solutions for various problems in the healthcare system,2020
Biomoneta,Life Sciences,Early Stage,36382.05,Bengaluru,It develops germicidal technologies,2020
F5,Retail Aggregator,Other Stages,36382.05,Bengaluru,It provides opportunities for its partner vendors to upsell and cross-sell their products.,2020
Myelin Foundry,Deep Tech Ai,Mid Stage,36382.05,Bengaluru,"It builds AI based algorithms on video, voice and sensor",2020
Ameliorate Biotech,Biotech,Other Stages,3201.62,Bengaluru,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",2020
MyKaam,Hrtech,Other Stages,36382.05,Bengaluru,Online job searching and recruiting platform,2020
YoloBus,Mobility/Transport,Mid Stage,40020.25,Gurugram,Intercity bus service startup,2020
Credgencies,Ai & Debt,Early Stage,36382.05,Gurugram,Tech-enabled platform for resolution of non-performing assets,2020
Knorish,Saas/Edtech,Other Stages,3917.13,New Delhi,All-in-one knowledge commerce SaaS platform,2020
Vahak,Transport,Early Stage,36382.05,Bengaluru,It enables logistic companies to conncet with transporters,2020
Awifs,Co-Working,Early Stage,63062.21,New Delhi,Provides office space solutions,2020
Gram Cover,Insurtech,Other Stages,36382.05,Noida,It provides insurance products in rural areas,2020
Vakilsearch,Legal,Other Stages,36382.05,Chennai,"Online platform for legal, tax and compliance services",2020
Juicy Chemistry,Organic Skincare,Mid Stage,7882.78,Coimbatore,It focuses on organic based skincare products,2020
Tesco Charge Zone,Ev,Other Stages,36382.05,Gujarat,Operates electric vehicle charging zone,2020
Intello Labs,"Supply Chain, Agritech",Mid Stage,71551.36,Gurugram,Standardisation and Quality control of fruits & vegetables,2020
Generic Aadhaar,Pharma,Mid Stage,36382.05,Thane,It provides a platform for entrepreneurs to access generic  medicine at low cost,2020
Aker Foods,Foodtech & Logistics,Early Stage,36382.05,Pune,Ai driven supply chain platform,2020
RoomSoom,Housing,Other Stages,36382.05,Noida,It provides co-living and student rooms,2020
Wagonfly,Retail Technology,Other Stages,6063.67,Bengaluru,Contactless shopping and delivery experience by using radio frequency to tag retail items,2020
Convosight,Data Analytics,Other Stages,48509.39,Hyderabad,It helps business gain insights from its community on Facebook groups,2020
AsknBid,Investment Tech,Early Stage,36382.05,Bengaluru,It builds algorithmic investing-based tech products,2020
UzhavarBumi,Dairy,Early Stage,36382.05,Tamil Nadu,Provides fresh dairy products,2020
Tattva,Beauty & Wellness,Early Stage,1819.1,New Delhi,Sells its organic and beauty products via marketplace,2020
ITILITE,Travel & Saas,Mid Stage,157655.53,Bengaluru,Platform for business travel,2020
BLive,Tourism & Ev,Other Stages,36382.05,Bengaluru,"It offers experiential, guided tours on smart electric bikes",2020
Toch,Media Tech,Mid Stage,4850.94,Mumbai,AI based Video object detection and Tagging platform,2020
Locale ai,Location Analytics,Mid Stage,36382.05,Bengaluru,It helps companies with moving assets  increase revenues and demand using real time location data and analytics,2020
Big Basket,E Store,Mid Stage,727640.9,Bengaluru,Online grocery store,2020
Obviously AI,Data Science,Early Stage,36382.05,San Francisco,It provides predictive insights to clients by leveraging their data,2020
CureFit,Health And Fitness,Late Stage,1394645.07,Bengaluru,"Integrated platform for food, fitness and meditation.",2020
Shadez,Interior & Decor,Early Stage,1212.73,Mumbai,Paint Company,2020
Ola Electric,Emobility,Mid Stage,12127.35,Bengaluru,Electric vehicle,2020
UnboxRobotics Labs,Automation Tech,Early Stage,6063.67,Bengaluru,Automated flexible parcel sorting solutions for logistics providers,2020
Airmeet,Media & Networking,Early Stage,36382.05,Bengaluru,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups",2020
F5,E-Market,Early Stage,36382.05,Bengaluru,Retail Aggregator,2020
Strata,Proptech,Early Stage,18191.02,Bengaluru,Real estate investment platform,2020
Salesken,Ai & Data Science,Mid Stage,97018.79,Bengaluru,Provides sales professionals with intelligence on various aspects of the sales pitch,2020
GogoBus,Travel Tech,Late Stage,36382.05,New Delhi,Inter-City Mobility Startup,2020
Bounce,Automotive And Rentals,Other Stages,78827.76,Bengaluru,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020
Spinny,E-Tail,Mid Stage,529965.13,Haryana,Used car retailing platform,2020
Flick Stree,Ai & Media,Mid Stage,36382.05,Mumbai,Artificial intelligence-based video publishing network,2020
MinionLabs,Machine Learning,Mid Stage,36382.05,Bengaluru,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,2020
Pepper,Content Marktplace,Early Stage,3721.88,Mumbai,End to end content creation platform,2020
Invideo,Visual Media,Early Stage,30318.37,Bengaluru,Video production and editing platform,2020
Sanfe,Hygiene,Other Stages,13340.08,New Delhi,Women health care and wellness product,2020
SmartVizX,Vr & Saas,Other Stages,16941.91,Noida,It developed India’s first VR-based design communication and collaboration product Trezi,2020
Onsitego,Sales & Services,Mid Stage,230419.62,Mumbai,It offers post-purchase services through a network of brand authorised service centres throughout the country,2020
CamCom,Ai & Deep Learning,Mid Stage,36382.05,Bengaluru,AI automation platform for enterprise quality control,2020
HooLiv,Housing & Rentals,Early Stage,36382.05,New Delhi,Student Co-living startup,2020
Big Basket,Estore,Early Stage,42445.72,Bengaluru,Online grocery store,2020
AlphaVector,E Tailor,Mid Stage,36382.05,Bengaluru,It sells modern age bicycles named FROG,2020
Oye! Rickshaw,E-Mobility,Mid Stage,121273.48,New Delhi,App-based electric rickshaw hailing service,2020
AdonMo,Ad-Tech,Other Stages,36382.05,Bengaluru,It is an online and outdoor advertising company,2020
Nupay,Neo-Banking,Mid Stage,36382.05,Haryana,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",2020
LogiNext,Transport Automation,Mid Stage,472966.59,Mumbai,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020
Park+,Techonology,Early Stage,133400.83,Gurugram,It is engaged in bringing digitization in parking,2020
Invento Robotics,Ai Robotics,Early Stage,3411.42,Bengaluru,Known for Mitra Series of Robots,2020
ProEves,Preschool Daycare,Early Stage,6148.57,New Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020
Aesthetic Nutrition,Food Diet,Other Stages,36382.05,New Delhi,Markets and sells chewable dietary supplements,2020
Ninjacart,B2B Agritech,Mid Stage,121273.48,Bengaluru,Online grocery delivery platform,2020
Wysh,E-Connect,Mid Stage,24254.7,Hyderabad,Celebrity engagement and wishing platform,2020
IncubateHub,Tech Hub,Other Stages,36382.05,Bengaluru,Provides platform for Corporates to connect establish brand presence among innovation community,2020
Techbooze,Consultancy,Mid Stage,181910.23,New Delhi,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020
Generico,Pharmacy,Early Stage,16978.29,Mumbai,Generic medicine focussed retail chain,2020
Super Surfaces,Deisgning,Mid Stage,6063.67,Hyderabad,A design solution based company,2020
Quicko,Taxation,Other Stages,3395.66,Ahmedabad,Online tax planning and filing platform,2020
GoMechanic,Automobile Technology,Mid Stage,178272.02,New Delhi,Find automobile repair and maintenance service providers,2020
Bizongo,B2B E-Commerce,Mid Stage,51000000.0,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,2021
Urban Company,Home Services,Other Stages,188000000.0,Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021
FreeStand,B2B Service,Other Stages,100000.0,Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2021
MyDentalPlan,Helathcare,Early Stage,700000.0,Bengaluru,My Dental Plan provides dental care packages and services.,2021
Tessolve,Electronics,Other Stages,40000000.0,Bengaluru,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",2021
ORAI,It Startup,Other Stages,400000.0,Bengaluru,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,2021
Optimized Electrotech,Aeorspace,Other Stages,1800000.0,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021
Fuel Buddy,Oil And Energy,Other Stages,1000000.0,Delhi,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,2021
Puresh Daily,Milk Startup,Early Stage,100000.0,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2021
LimeChat,Ai Chatbot,Early Stage,7500000.0,"Faridabad, Haryana",Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,2021
Superpro.ai,Video Communication,Early Stage,3000000.0,Bengaluru,Enabling independent professionals to bring offline consulting online with AI,2021
WiT-ACE,Skill Development,Early Stage,1000000.0,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",2021
GetWork,Recruitment,Early Stage,200000.0,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2021
Studio Sirah,Computer Games,Other Stages,800000.0,Bengaluru,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,2021
Bewakoof,Apparel & Fashion,Mid Stage,8000000.0,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",2021
Kirana247,Logistics & Supply Chain,Other Stages,1000000.0,Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2021
Sporjo,Sportstech,Other Stages,2000000.0,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2021
O’ Be Cocktails,Wine & Spirits,Other Stages,400000.0,Bengaluru,India’s first and only Ready to Drink Premium Cocktails.,2021
Zetwerk,Mechanical & Industrial Engineering,Other Stages,150000000.0,Bengaluru,ZETWERK is a universal manufacturing network powered by new-age technology.,2021
AppsForBharat,Spiritual,Early Stage,4000000.0,Bengaluru,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",2021
House of Kieraya,Lifestyle,Other Stages,15000000.0,Bengaluru,"House of Kieraya, well-known for furniture and lifestyle rental brand ?Furlenco",2021
Postman,Computer Software,Late Stage,225000000.0,Bengaluru,Postman is the collaboration platform for API development.,2021
LoanKuber,Digital Mortgage,Other Stages,1200000.0,Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,2021
SleepyCat,Furniture,Other Stages,3800000.0,Mumbai,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,2021
Navia Life Care,Healtcare,Other Stages,1000000.0,Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,2021
NimbleBox.ai,Mlops Platform,Early Stage,1000000.0,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,2021
Heads Up For Tails,Pet Care,Mid Stage,37000000.0,Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",2021
UrbanMatrix Technologies,Drone,Other Stages,100000.0,Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,2021
Apnaklub,Wholesale,Early Stage,3500000.0,Bengaluru,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,2021
infra.market,Construction,Late Stage,125000000.0,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2021
Simpl,Consumer Services,Mid Stage,40000000.0,Bengaluru,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",2021
8i Ventures,Venture Capital & Private Equity,Other Stages,50000000.0,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2021
Pocket FM,Ott,Mid Stage,22000000.0,Bengaluru,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",2021
PlanetSpark,Education Management,Mid Stage,13000000.0,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,2021
MoEngage,Software Startup,Late Stage,30000000.0,Bengaluru,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,2021
CloudSEK,Computer & Network Security,Mid Stage,7000000.0,Bengaluru,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,2021
Trinkerr,Capital Markets,Mid Stage,6600000.0,Bengaluru,Trinkerr is India's first social trading platform.,2021
NephroPlus,Hospital & Health Care,Late Stage,24000000.0,Hyderabad,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",2021
Fullife Healthcare,Pharmaceuticals,Mid Stage,22000000.0,None,Primary Business is Development and Manufactur...,2021
MoEVing,Electric Mobility,Early Stage,5000000.0,Gurugram,MoEVing is India's only Electric Mobility focused Technology Platform with a vision to accelerate EV adoption in India.,2021
ShopMyLooks,Digital Platform,Other Stages,200000.0,Noida,ShopMyLooks turns social media photos & videos into shop-the-look thus helping creators monetize their entire content.,2021
Bizongo,B2B Ecommerce,Late Stage,100000000.0,Mumbai,izongo is India’s largest B2B platform for made-to-order products.,2021
FRND,Online Media,Mid Stage,6500000.0,Bengaluru,FRND is an audio dating app for Bharat,2021
EsportsXO,Mobile Games,Early Stage,1100000.0,Bengaluru,EsportsXO is an esports tournament management company which offers software to manage tournaments online.,2021
Skippi Ice Pops,Food Production,Other Stages,130000.0,Hyderabad,India's First Icepops Brand,2021
Hubhopper,Podcast,Other Stages,3500000.0,Delhi,"Hubhopper is India's leading podcast hosting, creation & distribution platform. Getting podcast across both Indian & global audio platforms",2021
Pencil,Content Publishing,Other Stages,1000000.0,Mumbai,Pencil is a content publishing platform that enables writers to publish their work for free.,2021
Swajal,Water Purification,Other Stages,1600000.0,Gurugram,Swajal uses clean solar energy to purify drinking water at an affordable rate.,2021
Hypd Store,Content Commerce,Early Stage,3500000.0,Delhi,"A shop worthy content platform, personalized!",2021
VerSe Innovation,Innovation Management,Other Stages,1000000000.0,Bengaluru,Owner of Dailyhunt App and I-Pay,2021
Unlu,Celebrity Engagement,Early Stage,1000000.0,Gurugram,Personalised Video Shoutout from top celebrities,2021
Scentials,Personal Care,Other Stages,6000000.0,Mumbai,Scentials is building a unique beauty brands studio platform,2021
Hemp Horizons,Cannabis Startup,Early Stage,200000.0,Noida,Cannabis and Hemp company,2021
Koo,Blogging,Mid Stage,4100000.0,Bengaluru,Koo App operates as a microblogging app.,2021
