Company,Location,Sector,About,Amount,Stage,Funding Year
Aqgromalin,Chennai,Agritech,Cultivating Ideas for Profit,200000.0,,2020
Krayonnz,Bengaluru,Edtech,An academyguardianscholar centric ecosystem which provides state of the art technological solutions,100000.0,Pre-seed,2020
Padcare Labs,Pune,Hygiene Management,Converting biohazardous waste to harmless waste,,Pre-seed,2020
Ncome,New Delhi,Escrow,Escrowasaservice platform,400000.0,,2020
Gramophone,Indore,Agritech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management,340000.0,,2020
Qzense,Bengaluru,Agritech,qZense Labs is building the nextgeneration IoT solution for fresh food quality assessment and management,600000.0,Seed,2020
Myclassboard,Hyderabad,Edtech,MyClassboard is a fullfledged School  College Management Software,600000.0,Pre-series A,2020
Metvy,Gurugram,Networking Platform,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience,,Pre-series,2020
Rupeek,Bengaluru,Fintech,Rupeek is an online lending platform that specializes in credit risk gold loans and personal loans,45000000.0,Series C,2020
Gig India,Pune,Crowdsourcing,GigIndia is a marketplace that provides ondemand work completion for companies through a gig workforce of jobseekers,1000000.0,Pre-series A,2020
Slurrp Farm,Gurugram,Food & Bevarages,Slurrp Farm is a children health food brand,2000000.0,Series A,2020
Medfin,Bengaluru,Healthtech,Medfin is a Discovery platform for medical procedures and financing,,Series A,2020
Masterg,New Delhi,Fashion Startup,MasterG is a design and skill development organisation,,,2020
Brila 91,New Delhi,Food & Bevarages,Bira 91 is a craft beer company,1200000.0,,2020
Foodybuddy,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,600000.0,,2020
Zomato,Gurugram,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,660000000.0,,2020
Oureye.Ai,Bengaluru,Virtual Auditing Startup,Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control leveraging CCTV infrastructure,120000.0,,2020
Shiprocket,New Delhi,E-Commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers,7500000.0,Series C,2020
Pine Labs,Noida,Fintech,A merchant platform company that provides financing and lastmile retail transaction technology to merchants,,,2020
Moneyboxx Finance,New Delhi,Fintech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,1000000.0,,2020
Ewar,Bengaluru,Gaming,EWar Games is a esports and realtime gaming startup,,Pre-series A,2020
Sucseed Indovation,Hyderabad,Fintech,SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE SCALE  GROW,5000000.0,,2020
Taxbuddy.Com,Mumbai,Fintech,TaxBuddy for any tax related issues,1000000.0,,2020
Awign Enterprises,Bengaluru,Work Fulfillment,Operations and manpower outsourcing startup,500000.0,,2020
Circle Of Angels,Gurugram,Fintech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone,3000000.0,,2020
Coindcx,Mumbai,Fintech,CoinDCX is a company that specializes in cryptoenabled financial services,10000000.0,Series B,2020
Glance,Bengaluru,Ai Startup,Glance is a screen zero platform that consumers use across connected devices to experience the Internet,145000000.0,,2020
Verse Innovation,Bengaluru,Telecommunication,Owner of Dailyhunt App and IPay,100000000.0,,2020
Voosh,Bengaluru,Food Industry,Building Indias largest digital food service brand,,Pre-seed,2020
Delhivery,Gurugram,E-Commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers,,,2020
Arya,Noida,Agritech,Simplifying Agribusiness Throughout AgriSupply chain FPO Market Linkages Market Research Implementation,21000000.0,Series B,2020
Pickrr,New Delhi,Logistics,Pickrr is an ondemand first mile logistics company,4000000.0,,2020
Phonepe,Andheri,Fintech,PhonePe is a mobile payment application that enables users to transfer money instantly,20000000.0,,2020
Countingwell,Bengaluru,Edtech,An interactive Maths app Countingwell breaks Maths concepts into short simple modules that get kids learning with the least amount of screen time,1000000.0,Pre-series A,2020
Callify.Ai,Mumbai,Tech Startup,Callifyai is a VoiceBased Candidate Screening  Engagement platform for Talent Acquisition teams,560000.0,Seed,2020
Hudle,New Delhi,Sports,Hudle is a sports  fitness discovery  booking platform with 300 sports venues and sports eventstournaments available for booking,,Pre-series A,2020
Cover It Up,Chennai,E-Commerce,Online portal that churns out high quality products,400000.0,Seed,2020
Bitespeed,Gurugram,E-Commerce,Chatbased commerce for Ecommerce brands,275000.0,Seed,2020
Wakefit,Bengaluru,Retail,Wakefitkart is a mattress manufacturing company,20000000.0,Series B,2020
Sreyas Holistic Remedies,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,1000000.0,,2020
Fleeca India,Jaipur,Tyre Management,FLEECA is a Tyre Care Provider company,,,2020
M1Xchange,Gurugram,Fintech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis,4500000.0,,2020
Exotel,Bengaluru,Cloud Company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India,5000000.0,,2020
Pagarbook,Bengaluru,Software Company,Staffs Salary Work  Attendance Management Application,15000000.0,Series A,2020
Pointone Capital,Bengaluru,Venture Capitalist,PreseedSeed focussed VC investor,,,2020
Ayana,Bengaluru,Renewable Player,Ayana Renewable Power is an Indian renewable energy platform,390000000.0,,2020
Fisdom,Bengaluru,Fintech,Fisdom is a fintech company that offers investment advisory services through an application,7000000.0,,2020
Tinker Coders,Noida,Edtech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,,Seed,2020
Infinite Uptime,Pune,Iot Startup,The industrial Internet platform that harnesses the power of big data  predictive analytics for datadriven decision making,5100000.0,Series B,2020
Happylocate,Bengaluru,Saas Startup,HappyLocate is Indias first One Stop Relocation Platform transforming the way Employee Relocations are managed,500000.0,Pre-series A,2020
Phonepe,New Delhi,Fintech,PhonePe is a mobile payments application that allows the user to transfer money instantly,700000000.0,,2020
Loop Health,Pune,Healthtech,Loop Health is bringing ease and choice to patients seeking major medical treatments,2300000.0,Seed,2020
Neodocs,Mumbai,Healthtech,Neodocs analyses medical reports and provides personalised health recommendations remotely,,Pre-seed,2020
The Eplane,Chennai,Aero Company,Transforming the mobility landscape using aerial transport,,Seed,2020
Tagmango,Mumbai,Marketing Company,TagMango is a marketing and advertising app that helps influencer and brands to partner with individuals,700000.0,Seed,2020
The New Shop,New Delhi,Retail Startup,The New Shop is a chain of high speed retail stores,500000.0,Seed,2020
Mobikwik,Gurugram,Fintech,MobiKwik is Indias leading fintech platform operating businesses in consumer payments payment gateway and financial services,7000000.0,,2020
Debugsbunny,Pune,Edtech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers,100000.0,,2020
Bhive Investech,Bengaluru,Co-Working Startup,BHIVE is Bangalores India largest Coworking space that allows entrepreneurs to take their ideas to the next level,1000000.0,Seed,2020
Rivigo,Gurugram,Logistics,Rivigo is a technologyenabled logistics platform provider that offers transport services,19000000.0,,2020
Ziploan,New Delhi,Finance Company,ZipLoan is a online lending platform,3000000.0,,2020
Swipez,Pune,Fintech,Swipez is a payment collection platform,,,2020
Humus,Bengaluru,Agritech,Farmgate to Retail outlet AgriFresh produce supply chain,,,2020
Artivatic.Ai,Bengaluru,Tech Company,Artivatics patent pending technology solves complex problems in Insurance for Onboarding Fraud Risk Profiling Underwriting  claims,,,2020
Prescinto,Ahmedabad,Solar Monitoring Company,Prescinto provides solutions for solar monitoring and analytics solutions,,Seed,2020
Toppeq,Mumbai,Saas Startup,SaaSbased equity management platform,,Seed,2020
Bolo Indya,Gurugram,Video Sharing Platform,Bolo Indya is a short video  commerce platform It allows users to create watch and share videos  discover and avail services,400000.0,,2020
Bombay Play,Bengaluru,Gaming Startup,Bombay Play is a Card and Toy Company Making games for India,1000000.0,Seed,2020
Freshtohome,Bengaluru,E-Commerce,Freshtohome is an ecommerce platform for fresh and chemicalfree seafood,,,2020
Kiko Tv,Mumbai,Video Streaming Platform,KIKO TV is an AIbased short live video ecommerce platform,,Seed,2020
Atomberg Technologies,Mumbai,Consumer Appliances,Atomberg Technology aspires to be the Tesla of the world of household appliances,9000000.0,Series B,2020
Dealshare,Jaipur,E-Commerce,DealShare is a Social Commerce Startup,21000000.0,Series C,2020
Smallcase,Bengaluru,Fintech,Changing how India invests in equities,,,2020
Cuemath,Bengaluru,Edtech,Cuemath is an engaging learningbydoing methodology for students with facetoface sessions from highlytrained Cuemath teachers,40000000.0,Series C,2020
Gamerji,Ahmedabad,Gaming Startup,Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG COD Free Fire etc,,Seed,2020
5C Network,Bengaluru,Healthtech,5C is Indias first Diagnostics Network making Radiodiagnosis more Accessible Affordable and Accurate,1200000.0,Pre-series A,2020
Ethereum Push Notification Service,Mumbai,Blockchain Startup,EPNS is a decentralized notification protocol,750000.0,Seed,2020
Mihup,Kolkata,Conversational Ai Platform,Intelligencebased personal mobile assistant app,1500000.0,Series A,2020
Ruralbasket,"Tirunelveli, Tamilnadu",E-Commerce,Naturally grown and healthy products directly from farmers,500000.0,,2020
Waycool Foods,Chennai,Agritech,WayCool has adopted a techenabled supply chain approach to produce staples like rice dairy and value added products,7800000.0,Debt,2020
Infra.Market,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry,20000000.0,Series B,2020
Info Edge Venture,Noida,Venture Capitalist,Info Edge provides online recruitment matrimonial and real estate classifieds and related services,50000000.0,,2020
Clovia,Noida,E-Commerce,Clovia is the online lingerie retailer,4000000.0,Pre-series C,2020
Codingal,Bengaluru,Edtech,Coding education platform for K12 students,560000.0,Seed,2020
Cred,Bengaluru,Finance Company,CRED is a membersonly app that rewards the user with exclusive rewards for paying credit card bills,80000000.0,Series C,2020
Vistaar Finance,Bengaluru,Finance Company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets,30000000.0,,2020
Let'S Dive,Bengaluru,Saas Platform,A platform for remote employee engagement and building team culture,1700000.0,,2020
Habitat,Bengaluru,Edtech,Habitat a social learning edtech platform for civil service aspirants,600000.0,Seed,2020
Sawo Labs,Mumbai,Saas Platform,Providing Secure Authentication solutions to Apps and Websites Eliminating Passwords and OTPs for a seamless User Experience,600000.0,Seed,2020
Signzy,Bengaluru,Ai Platform,Signzy are creating building blocks for a Digital Trust system,3000000.0,,2020
Kopykitab,Bengaluru,Edtech,Kopykitab is an Indiabased digital library that provides eBooks and digital content in school and higher education,,,2020
Kyt,Singapore,Edtech,Holistic education for every child  Individual and small group live classes for ages 5  15 years,2500000.0,,2020
Raskik,Gurugram,Fusion Beverages,All new fusionflavour fruit juices with the goodness of coconut and taste of Indias finest fruits,1000000.0,Pre-series A,2020
Getwork,Gurugram,Hr Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once,40000.0,Pre-seed,2020
Mobile Premier League (Mpl),Bengaluru,Gaming,Mobile Premier League is a skillbased eSports platform used to offer cash prizes while playing games,500000.0,Series B,2020
Pravasirojgar,Mumbai,Job Portal,Initiative for bluecollar job workers,33000000.0,,2020
Omatra Hotels,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited,,Seed,2020
Awign,Bengaluru,Job Portal,Operations and manpower outsourcing startup,,Pre-series B,2020
Newsreach,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements,1500000.0,Seed,2020
Cashfree,Bengaluru,Fintech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts,35000000.0,Series B,2020
Credgenics,New Delhi,Fintech,Credgenics is a techenabled platform backed by Titan Capital helping fintech lenders and Banks in their critical NPA reduction,3000000.0,Pre-series A,2020
Geoiq,Bengaluru,Ai Startup,Mapbased intelligent platform with singleclick access to streetlevel location data  demographics competitions movements  for retail,300000.0,Seed,2020
Country Delight,Haryana,Dairy Startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep,25000000.0,Series C,2020
Quintype,Bengaluru,Content Management,A technology company that focus on building a suite of digital publishing solutions to simplify content creation distribution audience engagement,3500000.0,Series A,2020
