Company,Location,Sector,About,Amount,Stage,Funding Year
The Switch Fix,Gurugram,Healthcare,The Switch Fix is a plantbased clean and conscious personal care brand for young urbans,0.0,Seed,2021
Anvidha Technologies,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd,1500000.0,Seed,2021
Digisparsh,Mumbai,Fintech,DigiSparsh is Indias first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country,0.0,Seed,2021
Coffeemug.Ai,New Delhi,Networking,A video first global platform of senior professionals connecting 11 virtually or over coffee building a powerful longlasting relationship,620000.0,Pre-seed,2021
Pathfndr.Io,Bengaluru,Saas Startup,Intelligent Travel Tech Stack making sense of the worlds information by scanning billions of data points and ranking destinations,0.0,Pre-series A,2021
Bigleap,Hyderabad,Recruitment,BigLeap Technologies  Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business,600000.0,,2021
Kazam,Bengaluru,Ev Startup,Kazam provides end to end Electric Vehicle charging solutions for Office Spaces Apartments Restaurants Shops,900000.0,Seed,2021
Myre Capital,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,6000000.0,,2021
Bimape,Mumbai,Fintech,BimaPe demystifies Insurance and its Management for individuals and families across India BimaPe Bharosa Karo,500000.0,Pre-seed,2021
Microdegree,Mangalore,Edtech,MicroDegree is an edtech platform working towards democratising technology and job ready skills for Bharat,0.0,,2021
Saarthi Pedagogy,Ahmadabad,Edtech,Indias fastest growing Pedagogy company serving to school as an academic growth partner and provide 360 solutions to schools on Academic Strategies,1000000.0,,2021
Synapsica,New Delhi,Healthcare,Artificial Intelligence tools to make quality diagnostic assessment available for all,4000000.0,Series A,2021
Kwik Foods,Gurugram,Food & Beverages,Kwik Foods is one of the fastestgrowing D2C fresh food brands that is disrupting the food industry,0.0,Seed,2021
Plutomen,Ahmadabad,Ar Startup,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized startup by DIPP in the field of Emerging Technology,300000.0,,2021
Gomechanic,Gurugram,Automotive,GoMechanic is Indias leading multibrand car service company committed to making the car servicing experience hasslefree  easy for everyone,42000000.0,Series C,2021
Grinntech,Chennai,Automotive,Grinntech is an investor backed growth phase startup leading on all front of battery design for EV applications,2000000.0,,2021
Nobel Hygiene,Mumbai,Healthcare,Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 90012015 and CE certification headquartered in Mumbai,60000000.0,,2021
Green Cure,New Delhi,Healthcare,Worlds first company to combine German Engineering with Indian Ayurveda in health products,0.0,Pre-series A,2021
Classplus,Noida,Edtech,Classplus was born out of an urge to redefine classroom engagement in this country,65000000.0,Series C,2021
Windo,Hyderabad,E-Commerce,Convert Instagram Page Into an Online Store in under 2minutes Create a free online store and automate your sales,500000.0,Seed,2021
Apnaklub,Bengaluru,E-Commerce,Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain,0.0,Pre-series A,2021
Legalpay,New Delhi,Fintech,A tech focused B2B litigation finance company in India,0.0,,2021
Lavado,Mumbai,Consumer Service,A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories,0.0,,2021
Navars,Hyderabad,Edtech,Navars Edutech comprises dynamic mix of intellectual professionals managerial team Subject matter experts and Astronomy and Space researchers,0.0,,2021
Gobolt,Gurugram,Logistics,GoBOLT is a techlogistics company operating in Line Haul  Short Haul Trucking creating value through disintermediation increased asset utilization and extensive use of technology,20000000.0,Series B,2021
Loco,Bengaluru,Gaming,Loco is Indias leading live game streaming app,9000000.0,Seed,2021
Auric,New Delhi,Healthcare,Contemporary Beauty  Wellness Brand Based on Ayurveda,2000000.0,Pre-series A,2021
Edmingle,Bengaluru,Edtech,Edmingle is a platform for all educators who want to launch their courses and sell them online,300000.0,,2021
Slice,Bengaluru,Fintech,Slice is Indias best credit card challenger to pay bills manage expenses and unlock rewards,20000000.0,,2021
